time,algae,rotifers,egg-ratio,eggs,dead animals,external medium
0.0,1.63,0.6,1.33,0.8,0.0,80.0
1.0,0.8,0.4,1.0,0.4,0.0,80.0
2.0,0.64,10.23,0.47,4.82,0.6,80.0
3.0,0.4,17.26,0.23,4.01,0.0,80.0
4.0,0.16,6.42,0.16,1.0,0.2,80.0
5.0,0.14,3.81,0.42,1.61,0.2,80.0
6.0,0.26,1.4,0.43,0.6,0.0,80.0
7.0,1.22,3.61,0.22,0.8,0.0,80.0
8.0,0.95,4.82,0.5,2.41,0.4,80.0
9.0,0.39,23.08,0.22,5.02,0.2,80.0
10.0,0.12,18.06,0.1,1.81,0.6,80.0
11.0,0.13,3.61,0.11,0.4,0.4,80.0
12.0,0.45,2.41,0.25,0.6,0.4,80.0
13.0,0.61,4.62,0.91,4.21,0.2,80.0
14.0,1.14,9.43,0.38,3.61,0.4,80.0
15.0,0.63,25.28,0.23,5.82,0.4,80.0
16.0,0.13,14.05,0.14,2.01,0.0,80.0
17.0,0.4,7.63,0.26,2.01,0.8,80.0
18.0,0.73,7.02,0.57,4.01,0.2,80.0
19.0,0.44,27.69,0.15,4.21,0.8,80.0
20.0,0.35,21.07,0.11,2.41,0.0,80.0
21.0,0.24,20.47,0.06,1.2,0.6,80.0
22.0,0.46,22.07,0.25,5.62,0.2,80.0
23.0,1.03,16.86,0.38,6.42,0.4,80.0
24.0,0.49,24.28,0.1,2.41,0.4,80.0
25.0,0.31,14.65,0.14,2.01,0.4,80.0
26.0,0.66,6.82,0.44,3.01,0.4,80.0
27.0,0.77,10.43,0.5,5.22,0.4,80.0
28.0,0.56,27.29,0.11,3.01,0.4,80.0
29.0,0.18,39.73,0.09,3.61,0.8,80.0
30.0,0.22,21.67,0.07,1.61,1.0,80.0
31.0,0.46,7.22,0.75,5.42,0.4,80.0
32.0,0.74,10.03,0.3,3.01,0.6,80.0
33.0,0.66,15.05,0.2,3.01,0.2,80.0
34.0,0.56,7.63,0.24,1.81,0.4,80.0
