Algae,Rotifers,Eggs,Egg_Ratio,Dead_Rotifers,Time
10.0,7.462392590968632,1.0,0.46409277000974114,1.0,0.0
2.0,12.924785181937263,5.0,0.7142856984957708,1.0,1.0
2.0,2.0,1.0,0.7636601301392467,0.0,2.0
0.0,1.0,0.0,0.0,0.0,3.0
1.0,1.0,1.0,0.8659946051076357,2.0,4.0
4.0,0.0,0.0,0.0,0.0,5.0
7.0,0.0,0.0,0.0,0.0,6.0
8.0,0.0,0.0,0.0,1.0,7.0
30.0,0.0,0.0,0.0,0.0,8.0
45.0,0.0,0.0,0.0,0.0,9.0
56.0,0.0,0.0,0.0,1.0,10.0
76.0,7.462392590968632,0.0,0.0,1.0,11.0
53.0,1.0,0.0,0.0,0.0,12.0
31.0,6.462392590968632,3.0,0.7499999709859791,0.0,13.0
7.0,12.924785181937263,1.0,0.3333333161398398,0.0,14.0
1.0,32.84957036387453,0.0,0.0,0.0,15.0
0.0,7.0,0.0,0.0,1.0,16.0
0.0,6.0,0.0,0.0,0.0,17.0
0.0,3.0,0.0,0.0,2.0,18.0
0.0,3.0,0.0,0.0,0.0,19.0
1.0,0.0,0.0,0.0,0.0,20.0
1.0,1.0,0.0,0.0,0.0,21.0
0.0,0.0,0.0,0.0,0.0,22.0
1.0,0.0,0.0,0.0,1.0,23.0
10.0,0.0,1.0,0.9999998452585739,0.0,24.0
21.0,0.0,0.0,0.0,1.0,25.0
17.0,0.0,0.0,0.0,1.0,26.0
35.0,8.462392590968632,0.0,0.0,0.0,27.0
76.0,1.0,0.0,0.0,0.0,28.0
72.0,0.0,0.0,0.0,0.0,29.0
79.0,0.0,0.0,0.0,0.0,30.0
67.0,2.0,0.0,0.0,0.0,31.0
54.0,8.462392590968632,3.0,0.6961391800110163,0.0,32.0
36.0,6.462392590968632,2.0,0.6666666322796796,1.0,33.0
12.0,9.462392590968632,3.0,0.6720092138763123,1.0,34.0
0.0,3.0,0.0,0.0,3.0,35.0
0.0,3.0,0.0,0.0,3.0,36.0
0.0,2.0,0.0,0.0,0.0,37.0
0.0,3.0,0.0,0.0,2.0,38.0
1.0,1.0,0.0,0.0,1.0,39.0
0.0,0.0,0.0,0.0,0.0,40.0
0.0,1.0,0.0,0.0,1.0,41.0
3.0,0.0,0.0,0.0,0.0,42.0
2.0,0.0,0.0,0.0,1.0,43.0
13.0,0.0,0.0,0.0,0.0,44.0
23.0,0.0,0.0,0.0,0.0,45.0
34.0,0.0,1.0,0.9999998452585739,0.0,46.0
62.0,6.462392590968632,1.0,0.49999996131464053,0.0,47.0
88.0,6.462392590968632,0.0,0.0,0.0,48.0
77.0,0.0,0.0,0.0,0.0,49.0
56.0,0.0,1.0,0.9999998452585739,0.0,50.0
59.0,2.0,0.0,0.0,0.0,51.0
33.0,13.924785181937263,2.0,0.4813777101606643,0.0,52.0
12.0,6.462392590968632,1.0,0.49999996131464053,0.0,53.0
0.0,13.924785181937263,1.0,0.3169831717744589,1.0,54.0
0.0,7.0,0.0,0.0,1.0,55.0
1.0,3.0,0.0,0.0,1.0,56.0
1.0,0.0,0.0,0.0,1.0,57.0
0.0,2.0,0.0,0.0,1.0,58.0
0.0,1.0,0.0,0.0,1.0,59.0
1.0,0.0,0.0,0.0,1.0,60.0
6.0,0.0,0.0,0.0,0.0,61.0
4.0,0.0,0.0,0.0,0.0,62.0
5.0,0.0,0.0,0.0,0.0,63.0
21.0,0.0,0.0,0.0,0.0,64.0
40.0,0.0,0.0,0.0,0.0,65.0
69.0,1.0,1.0,0.8659946051076357,1.0,66.0
65.0,0.0,0.0,0.0,1.0,67.0
68.0,0.0,0.0,0.0,0.0,68.0
50.0,1.0,2.0,0.9281855400194823,0.0,69.0
41.0,0.0,2.0,0.9999999226292811,0.0,70.0
23.0,4.0,3.0,0.8289660741536721,2.0,71.0
